day,quarter,actual_regime,pred_regime,correct,rev_hard,rev_soft,rev_stoch,rev_perfect,rev_oracle
1621,Q1,7,7,True,199425.59005258,203430.8127886899,211759.9971061399,199425.59005258,263516.30641149695
1622,Q1,7,3,False,216362.4652836998,213112.36459133975,213387.43907206983,216393.79032659993,275788.63613832067
1623,Q1,4,5,False,67560.0232922,67554.78941999999,51253.95645439999,67108.50357620002,159995.6993143
1624,Q1,5,5,True,181487.94800249964,173185.19999999998,117533.00169499981,181487.94800249964,275769.80462739995
1625,Q1,5,7,False,248489.99134068,240671.44331227994,262494.87093603995,259032.49439864964,393876.58966303116
1626,Q1,7,7,True,205233.87506366998,204852.66092992996,205598.59626428,205233.87506366998,267347.3859116
1627,Q1,7,7,True,273007.1903266001,272702.0422982001,260148.19032660007,273007.1903266001,324329.5765219434
1628,Q1,10,7,False,163378.10781309998,194297.78495537996,182127.90066879994,267557.1999999999,324733.0991088
1629,Q1,0,7,False,217699.27553272,208598.2422982,178538.87756087998,190398.35645440003,286392.99278325646
1630,Q1,7,7,True,202697.2811280101,218423.0516290301,209939.82140333008,202697.2811280101,270583.7563995876
1631,Q1,7,7,True,211186.29915357003,183537.45644840997,203466.25644841004,211186.29915357003,268220.329013
1632,Q1,0,7,False,267110.62592397997,271410.24229819997,302003.97439604,370805.35645439994,498811.09829696914
1633,Q1,7,7,True,208367.58741111995,183807.53131963994,182794.0112106398,208367.58741111995,308487.3604169256
1634,Q1,7,7,True,222406.69461196003,219837.90449924004,219708.32025560003,222406.69461196003,265269.76466
1635,Q1,5,7,False,249074.19032659996,246337.0422982,247007.29426979998,280988.64093367936,418367.86712400004
1636,Q1,7,7,True,249068.74944100995,245835.00781475988,245118.14944101003,249068.74944100995,295078.55907200003
1637,Q1,7,3,False,165788.7239090999,169034.11892935995,191552.78908352007,188751.60933784008,251086.5826968
1638,Q1,7,5,False,182454.7795038597,186332.47264599972,209463.8,183570.38643878992,301581.860690205
1639,Q1,7,7,True,240972.69268774,240407.20611066002,249808.28397185987,240972.69268774,304968.6929385
1640,Q1,7,7,True,214554.5903266,204495.4422982,219953.18706863394,214554.5903266,263011.2953204145
1641,Q1,7,7,True,196740.59032659998,198708.1784914499,185537.2938149498,196740.59032659998,324508.2693139472
1642,Q1,7,7,True,246864.19032659993,236684.53835499994,212526.40000000002,246864.19032659993,417578.39298005006
1643,Q1,7,7,True,222612.19032660004,214109.84229820003,216214.29893019103,222612.19032660004,293652.57894749194
1644,Q1,7,7,True,237472.1903266,230194.2422982,241304.0739431015,237472.1903266,306725.379756
1645,Q1,7,7,True,243790.99032659997,241098.64229819996,222898.24229819997,243790.99032659997,291600.353756
1646,Q1,7,7,True,210012.86398298998,250393.19049828994,248845.01035878982,210012.86398298998,294521.96242
1647,Q1,7,7,True,190748.2440710101,215712.45244754007,189810.35446206006,190748.2440710101,297483.97909003973
1648,Q1,0,7,False,118666.20923585996,121458.59900283995,132344.00225395,141613.62909951998,249922.474828
1649,Q1,3,7,False,115229.33247575,120822.4671273699,97264.95322345986,127517.4369748998,194276.67146614747
1650,Q1,3,11,False,65324.400000000016,51889.59999999999,50721.79999999999,82604.39369229991,137186.96883192097
1651,Q1,7,7,True,208536.24930895003,200188.41631240002,158374.8,208536.24930895003,294311.79940725
1652,Q1,7,7,True,190995.79032659996,180024.44229819995,181719.93205059718,190995.79032659996,261730.6691788
1653,Q1,7,7,True,180495.59032659995,172610.24229819997,180708.5722272,180495.59032659995,220693.97242933125
1654,Q1,5,7,False,204218.59032659998,192462.13835499997,188622.49426979994,224249.44859400977,291894.2694292581
1655,Q1,0,0,True,238296.65617663995,243140.85617663994,241461.25338360984,238296.65617663995,359769.40221490193
1656,Q1,7,7,True,200592.24006630998,232043.39459556996,217987.59459557,200592.24006630998,277564.196304
1657,Q1,7,0,False,146713.68637440004,153004.68637440001,109454.12451864984,152675.5748819599,292254.98125989997
1658,Q1,7,7,True,214302.39032659997,202502.73835499998,201197.8525807298,214302.39032659997,291576.55184
1659,Q1,7,7,True,217051.99032659992,210780.6422981999,224752.72025559997,217051.99032659992,301563.73812040006
1660,Q1,7,7,True,298569.9903266,290035.8422982,288154.4601368997,298569.9903266,397332.87424379995
1661,Q1,7,7,True,272885.5903266,264346.59032659995,276045.2942698,272885.5903266,365482.8914778688
1662,Q1,7,7,True,204878.9689382499,224300.59999999995,221563.19999999992,204878.9689382499,277956.3925072
1663,Q1,7,7,True,180793.59103664,176956.20000000004,168423.80000000005,180793.59103664,246976.4427364165
1664,Q1,10,7,False,99221.71629528001,99771.40000000004,33436.48798607989,209341.60000000012,286640.7663422789
1665,Q1,7,7,True,239785.38531958,233735.63729117997,237722.97341146984,239785.38531958,315414.2457633483
1666,Q1,7,7,True,268949.7903266001,260614.04229820007,244498.90448280008,268949.7903266001,326764.24440067855
1667,Q1,7,7,True,236964.10632360008,243165.91707092008,247450.83319190005,236964.10632360008,299792.44180760003
1668,Q1,7,7,True,251899.04079522,248881.02431642002,254391.87331038003,251899.04079522,317363.48822175
1669,Q1,7,7,True,249895.44041647998,245526.02672639998,241454.32137515987,249895.44041647998,293821.2880152
1670,Q1,7,7,True,243018.98512944006,236347.23710104005,240091.92025560007,243018.98512944006,292052.03780543024
1671,Q1,7,7,True,235375.78969279997,236968.32224869996,233815.72224869998,235375.78969279997,270828.75986234506
1672,Q1,7,3,False,75917.81589299985,64291.28486089991,87915.10916189982,85342.00007863998,238222.53890043212
1673,Q1,7,7,True,244572.99032659997,237213.21631239995,244253.09426979994,244572.99032659997,283762.85533258313
1674,Q1,7,7,True,236714.19032659996,231834.24229819994,240560.3202556,236714.19032659996,310158.1761889659
1675,Q1,7,7,True,212032.38791816,200601.43988976002,213111.86857682982,212032.38791816,317374.76585477864
1676,Q1,7,7,True,247158.1929251801,238385.44489678007,214207.99375403998,247158.1929251801,311000.83360759873
1677,Q1,7,7,True,246963.87920539995,248246.75089373995,249145.40691609995,246963.87920539995,290254.45219057344
1678,Q1,7,3,False,146967.81982389974,202436.65285451978,189649.03633920982,207784.20947037,283409.75825320004
1679,Q1,7,7,True,182904.67146372003,183079.58640776,142522.65882382,182904.67146372003,251611.8965692
1680,Q1,7,7,True,190599.13198334,196489.55425646983,175059.47452495995,190599.13198334,247369.05325170004
1681,Q1,7,3,False,194896.1125516999,205976.03034824986,194635.90153444998,206432.71306016002,257089.6558828929
1682,Q1,7,7,True,225926.07043767988,221932.42784631986,216919.57119054493,225926.07043767988,279108.4508820332
1683,Q1,7,7,True,245979.71360626,240559.82622943987,245385.1212153899,245979.71360626,300345.98262778553
1684,Q1,7,7,True,216008.71622485993,216061.69468549997,205664.99999999997,216008.71622485993,269488.51573954744
1685,Q1,7,7,True,195032.17000497002,204159.62860419,192235.81064971982,195032.17000497002,260598.250596
1686,Q1,10,7,False,130650.01887904003,136023.66507146004,109891.81887904002,156975.0,216043.45096021923
1687,Q1,7,7,True,177115.35275537006,208325.31970711003,218044.39287900995,177115.35275537006,275170.72312219447
1688,Q1,7,7,True,208787.26343838996,196073.36089978,192834.87348853,208787.26343838996,303104.2841637844
1689,Q1,7,7,True,255003.81879485006,243485.06918195006,216253.207547954,255003.81879485006,301043.03757283324
1690,Q1,7,3,False,192169.89950099983,191292.82939389985,183590.29950099983,178600.60078058,244772.7928833148
1691,Q1,11,11,True,210121.4,202966.80000000002,218878.00000000003,210121.4,338701.38318905316
1692,Q1,7,7,True,181575.36298195994,156376.5999999999,186817.24030281967,181575.36298195994,283443.90282865
1693,Q1,7,7,True,186480.94538824997,221170.14922714996,226238.6863670399,186480.94538824997,276384.30332813616
1694,Q1,7,7,True,220864.42596631005,218336.03845217003,203342.77550697976,220864.42596631005,272211.0180967043
1695,Q1,7,7,True,121546.03347032997,127301.30280746988,119883.80342820998,121546.03347032997,211721.71565079497
1696,Q1,7,7,True,128164.71548328995,135106.91334641998,168089.40000000002,128164.71548328995,245999.67666758722
1697,Q1,7,3,False,102390.30675809988,99551.68766307987,100877.1479647399,101039.51497044999,134481.52891601136
1698,Q1,9,11,False,52829.6,52502.4,34134.8,41265.40000000001,98237.57256525772
1699,Q1,1,7,False,22808.36107996997,9582.04256481986,668.3008975999264,43691.200000000004,123862.12369958255
1700,Q1,7,7,True,46166.82484098999,41337.27199016989,36251.600780136636,46166.82484098999,94643.30947257267
1701,Q1,5,0,False,26765.035343359938,35764.04051282998,32739.575590679975,47277.58241203975,93998.03336418254
1702,Q1,7,5,False,131710.46937459978,136268.22493639973,165315.62976439993,149202.64666156998,223559.0069824487
1703,Q1,5,11,False,31739.20000000002,30263.400000000012,30511.599999999973,80900.2092867497,244379.5188341375
1704,Q1,7,5,False,83675.63376865975,85728.01274495976,82484.19998883999,108729.24536331998,165784.54594062737
1705,Q1,7,5,False,216846.2929445596,228050.22209535964,240657.54962391965,237331.99667018995,310942.02027021354
1706,Q1,7,5,False,225637.12537124963,241220.87703999967,209561.20495962966,244549.40164949,339776.66080720985
1707,Q1,7,7,True,264723.77537833987,262881.1483887499,238873.12415809967,264723.77537833987,326838.85935178667
1708,Q1,7,5,False,158492.2714963297,167360.89116299976,163027.30588585994,183492.88404350998,239393.84384842962
1709,Q1,3,7,False,53472.35802443996,40333.42987007998,61219.395688858414,105515.06972869986,150371.45172933486
1710,Q1,7,7,True,121046.19200632,122004.40791749998,121361.38442799998,121046.19200632,184035.8547388
