window,seed,strategy,threshold,revenue,clear
day_1106-1196,42,naive,,14022636.001112722,0.9889042438786488
day_1106-1196,42,optimal,,16225937.69750568,0.3492848235012667
day_1106-1196,42,regime_aware,0.4,15785378.723818177,0.5902555233650082
day_1106-1196,42,regime_aware,0.45,15745564.219825674,0.6449377353890953
day_1106-1196,42,regime_aware,0.5,15700821.189073175,0.68666866739894
day_1106-1196,43,naive,,13979748.532226052,0.9908311686692298
day_1106-1196,43,optimal,,16186650.97604318,0.34491134327643036
day_1106-1196,43,regime_aware,0.4,15713442.691098183,0.5941071427386311
day_1106-1196,43,regime_aware,0.45,15635686.479468178,0.6445017834670697
day_1106-1196,43,regime_aware,0.5,15624546.797835676,0.6899358103336499
day_1106-1196,44,naive,,13991108.516134785,0.991123398295733
day_1106-1196,44,optimal,,16220702.65841567,0.35430613505380265
day_1106-1196,44,regime_aware,0.4,15778542.800438177,0.5952721955353614
day_1106-1196,44,regime_aware,0.45,15707071.810930673,0.6459614316751275
day_1106-1196,44,regime_aware,0.5,15648419.71532817,0.6892788931027388
day_1196-1286,42,naive,,15186446.109049013,0.9925645969057293
day_1196-1286,42,optimal,,16203575.431417117,0.21249805556775933
day_1196-1286,42,regime_aware,0.4,16012592.734442119,0.4916244290107571
day_1196-1286,42,regime_aware,0.45,15945855.43306712,0.5681707126625555
day_1196-1286,42,regime_aware,0.5,15960005.82851712,0.6196916349932953
day_1196-1286,43,naive,,15179221.469741967,0.9958240675062212
day_1196-1286,43,optimal,,16224347.29406712,0.20677510555546666
day_1196-1286,43,regime_aware,0.4,15933824.214642117,0.49209924142899486
day_1196-1286,43,regime_aware,0.45,15926409.740167115,0.5630751133651355
day_1196-1286,43,regime_aware,0.5,15944827.468217116,0.6227888153541096
day_1196-1286,44,naive,,15167612.443758735,0.9991196472114998
day_1196-1286,44,optimal,,16273170.909442117,0.1989176304537638
day_1196-1286,44,regime_aware,0.4,15974542.825917115,0.4891549678832791
day_1196-1286,44,regime_aware,0.45,15901254.264842113,0.5624460239990469
day_1196-1286,44,regime_aware,0.5,15934747.345342113,0.6210778408196376
day_1286-1376,42,naive,,20035933.638596952,0.9827723718638172
day_1286-1376,42,optimal,,19939591.146204695,0.23018536122897504
day_1286-1376,42,regime_aware,0.4,19979922.43260469,0.4248645306419273
day_1286-1376,42,regime_aware,0.45,20087296.69230469,0.4766252482612836
day_1286-1376,42,regime_aware,0.5,20083157.549329683,0.5383130724396566
day_1286-1376,43,naive,,20045794.50131584,0.9841420611394481
day_1286-1376,43,optimal,,19967576.137254685,0.23037633764456764
day_1286-1376,43,regime_aware,0.4,20017048.58977969,0.4304880414957824
day_1286-1376,43,regime_aware,0.45,20056054.30202969,0.4754601770651749
day_1286-1376,43,regime_aware,0.5,20056451.860329695,0.5422721059975756
day_1286-1376,44,naive,,20052115.466912214,0.9878796232200994
day_1286-1376,44,optimal,,19970723.161079697,0.22765223965567577
day_1286-1376,44,regime_aware,0.4,20023089.386129692,0.42719934997380077
day_1286-1376,44,regime_aware,0.45,20113524.01057968,0.4726731928628873
day_1286-1376,44,regime_aware,0.5,20085189.671154693,0.5395944545722438
