window,seed,strategy,revenue,clear_ratio,n_days,elapsed_s
day_1106-1196,42,naive,14022636.001112722,0.9889042438786488,90,12.51827096939087
day_1106-1196,42,heuristic,15779835.80043436,0.7153540951319143,90,11.78837776184082
day_1106-1196,42,optimal,16232644.37685068,0.34175762412874755,90,13.846853017807007
day_1106-1196,43,naive,13979748.532226052,0.9908311686692298,90,11.91391372680664
day_1106-1196,43,heuristic,15748690.054846417,0.7160603938488812,90,11.22492003440857
day_1106-1196,43,optimal,16164999.827860681,0.3377950024470195,90,13.521772146224976
day_1106-1196,44,naive,13991108.516134785,0.991123398295733,90,11.539866924285889
day_1106-1196,44,heuristic,15762152.354614848,0.7174185919912628,90,11.878712177276611
day_1106-1196,44,optimal,16203372.512290683,0.3434500771775884,90,12.476839303970337
day_1106-1196,45,naive,14030627.653060757,0.988129684155705,90,10.58424687385559
day_1106-1196,45,heuristic,15792644.435956871,0.7149228087647965,90,10.763454914093018
day_1106-1196,45,optimal,16242638.669565672,0.34823101944633705,90,13.322965145111084
day_1106-1196,46,naive,13981897.662035158,0.9902663552538918,90,11.282969236373901
day_1106-1196,46,heuristic,15755214.542874858,0.717441728759967,90,12.576451778411865
day_1106-1196,46,optimal,16235860.886290673,0.3399845765469371,90,12.781121969223022
day_1196-1286,42,naive,15186446.109049013,0.9925645969057293,90,11.60844373703003
day_1196-1286,42,heuristic,16356201.3402195,0.550863479676068,90,11.447985887527466
day_1196-1286,42,optimal,16221617.331817117,0.19241721042296,90,12.362891912460327
day_1196-1286,43,naive,15179221.469741967,0.9958240675062212,90,10.941740989685059
day_1196-1286,43,heuristic,16354650.500677012,0.5513711223057555,90,11.13998007774353
day_1196-1286,43,optimal,16162082.498342123,0.19813078683739205,90,12.308372974395752
day_1196-1286,44,naive,15167612.443758735,0.9991196472114998,90,10.988619089126587
day_1196-1286,44,heuristic,16345231.104463808,0.553520090615432,90,11.038158178329468
day_1196-1286,44,optimal,16219872.713192126,0.20164363712752414,90,12.343992233276367
day_1196-1286,45,naive,15133947.369306142,0.9950401503310567,90,11.189692974090576
day_1196-1286,45,heuristic,16324558.15894606,0.5526361042884365,90,11.09608507156372
day_1196-1286,45,optimal,16162167.476117117,0.19272480995033145,90,12.312909841537476
day_1196-1286,46,naive,15152861.846211337,0.9974985145470427,90,11.058251857757568
day_1196-1286,46,heuristic,16344073.631028794,0.5531467946684698,90,11.06144094467163
day_1196-1286,46,optimal,16203124.144092117,0.20097147834707255,90,12.38852310180664
day_1286-1376,42,naive,20035933.638596952,0.9827723718638172,90,10.982856035232544
day_1286-1376,42,heuristic,19891659.19618288,0.6402498667368609,90,11.063229084014893
day_1286-1376,42,optimal,19975913.05502969,0.22204869478138012,90,12.35604476928711
day_1286-1376,43,naive,20045794.50131584,0.9841420611394481,90,10.971513032913208
day_1286-1376,43,heuristic,19892840.25214885,0.6392143562384764,90,11.097636938095093
day_1286-1376,43,optimal,19918418.201179683,0.2224958681569047,90,12.405351161956787
day_1286-1376,44,naive,20052115.466912214,0.9878796232200994,90,11.15654993057251
day_1286-1376,44,heuristic,19904448.90228198,0.64326635609609,90,11.014199018478394
day_1286-1376,44,optimal,19936727.72917969,0.21844746780158905,90,12.329092741012573
day_1286-1376,45,naive,20061359.209117774,0.984692590270609,90,11.00603199005127
day_1286-1376,45,heuristic,19906561.67634624,0.6422586125712424,90,11.03118371963501
day_1286-1376,45,optimal,19954641.000679694,0.21550569759110189,90,12.289172172546387
day_1286-1376,46,naive,20012869.723085303,0.9880524574661662,90,11.01372480392456
day_1286-1376,46,heuristic,19882063.60838785,0.6429625660630336,90,10.978429794311523
day_1286-1376,46,optimal,19959688.019129686,0.22031673711008468,90,12.365402936935425
