day_idx,date,quarter,rev_single_rt,rev_single_da,rev_shandong_twosettle,oracle_rt,capture_single_rt,rt_mean,da_mean,da_rt_spread_mean
1522,2025-01-01,1,49849.823204391156,73805.92882504068,73805.92882504068,71819.9033793225,69.40948241200684,294.08833333333337,300.79541666666665,6.707083333333332
1523,2025-01-02,1,25629.937245552548,27709.010461419733,27709.010461419733,82932.40794656001,30.904610007306154,309.4025,279.8616666666667,-29.540833333333342
1524,2025-01-03,1,51127.80874599094,39178.55091014652,39178.55091014652,70579.22315136413,72.4403109911571,295.1066666666666,287.5733333333333,-7.5333333333333385
1525,2025-01-04,1,-3058.8320437143507,13729.27823165216,13729.27823165216,41466.12198067461,-7.376701503796104,348.77124999999995,314.5975,-34.17374999999999
1526,2025-01-05,1,9650.483709317796,-11867.535703387166,-11867.535703387166,61690.05944210604,15.643498801252473,253.04541666666668,295.40916666666664,42.363749999999996
1527,2025-01-06,1,119753.62920986583,80046.34526528038,80046.34526528038,161675.177968,74.07051021373756,200.77583333333328,302.85583333333335,102.08
1528,2025-01-07,1,117932.77324359534,93678.11293152091,93678.11293152091,154103.1152686177,76.52848097069699,206.54291666666666,252.32708333333335,45.78416666666667
1529,2025-01-08,1,97296.28003365237,87816.5412896552,87816.5412896552,146902.85628119067,66.23171427478235,175.03416666666666,208.36624999999995,33.33208333333332
1530,2025-01-09,1,135828.39272076,112397.87360452494,112397.87360452494,169856.97831515686,79.96633053764833,284.9066666666667,272.25,-12.656666666666672
1531,2025-01-10,1,83323.40761616865,89592.97894942606,89592.97894942606,97115.85107118794,85.79794822071925,349.2729166666666,310.0254166666667,-39.2475
1532,2025-01-11,1,29157.896611787706,34329.74849820174,34329.74849820174,49285.749655174455,59.160907190799826,305.1720833333333,305.45125,0.2791666666666674
1533,2025-01-12,1,71602.61879469927,79693.97512836091,79693.97512836091,101099.91370609857,70.82362009017228,312.39,290.59625,-21.79375
1534,2025-01-13,1,106318.52881058269,103067.59838526655,103067.59838526655,157019.50417576593,67.7103964686902,247.55208333333334,217.13416666666663,-30.41791666666666
1535,2025-01-14,1,56233.81430520048,39416.925183938445,39416.925183938445,101134.19052454966,55.60316843743372,237.26083333333338,191.25,-46.010833333333345
1536,2025-01-15,1,82112.36659370032,20149.460195795196,20149.460195795196,135297.41373704997,60.69027066052084,206.795,285.06,78.26499999999999
1537,2025-01-16,1,112852.48954955339,99365.22738438642,99365.22738438642,139298.16846445797,81.01505625922697,265.06749999999994,292.11083333333335,27.043333333333333
1538,2025-01-17,1,76439.02000499915,43256.279095472855,43256.279095472855,102418.07888697344,74.63430366562113,240.97541666666666,278.55625,37.580833333333345
1539,2025-01-18,1,113176.14046755865,65140.94079867461,65140.94079867461,129798.16757464825,87.19394316754888,213.63375,281.62083333333334,67.98708333333333
1540,2025-01-19,1,93775.55219592949,67384.12217724213,67384.12217724213,113085.33570350125,82.92459107324036,252.54458333333332,264.76416666666665,12.219583333333338
1541,2025-01-20,1,65624.45026576778,73743.85918803721,73743.85918803721,114967.8876533231,57.08067844444816,237.9275,266.86291666666665,28.935416666666672
1542,2025-01-21,1,54124.16744992832,86904.87538250141,86904.87538250141,93102.15232699952,58.13417423458681,320.3108333333334,288.89958333333334,-31.41125
1543,2025-01-22,1,87336.20495876494,43488.54844809108,43488.54844809108,111047.30604208293,78.64774758756207,227.47875,288.1766666666667,60.697916666666664
1544,2025-01-23,1,22504.563620133336,25148.383480298296,25148.383480298296,38987.45437721001,57.72257763330223,317.28416666666664,291.15833333333336,-26.125833333333333
1545,2025-01-24,1,17891.32539259176,30821.370368201646,30821.370368201646,31677.093,56.48032599642827,345.92833333333334,319.50375,-26.42458333333333
1546,2025-01-25,1,74039.85704088511,42694.58708221715,42694.58708221715,129168.70326796235,57.320275862248415,205.24874999999997,316.65708333333333,111.4083333333333
1547,2025-01-26,1,7718.154544346582,-15856.632341635925,-15856.632341635925,60169.47353600001,12.827359275012986,165.15958333333333,288.66125000000005,123.50166666666667
1548,2025-01-27,1,69940.15961844019,50028.99581044018,50028.99581044018,98298.95415,71.15046159261725,49.255,25.906666666666666,-23.348333333333333
1549,2025-01-28,1,134182.94004100622,138622.42302498958,138622.42302498958,238994.92682150996,56.1446813225533,222.03,175.99458333333334,-46.03541666666666
1550,2025-01-29,1,129421.51216705386,110567.31001803404,110567.31001803404,163177.80053254074,79.31318582839015,255.59624999999997,238.50708333333333,-17.089166666666667
1551,2025-01-30,1,103780.47672412943,113650.5515859648,113650.5515859648,129851.85426064002,79.92221390679579,311.02708333333334,273.895,-37.132083333333334
1552,2025-01-31,1,39338.662922445874,26028.823656576365,26028.823656576365,47796.429434280006,82.30460598847965,338.44166666666666,287.4866666666667,-50.955000000000005
1553,2025-02-01,1,25239.17024568336,40350.79001283251,40350.79001283251,36110.91889774429,69.89345886531831,289.56416666666667,339.59124999999995,50.02708333333334
1554,2025-02-02,1,23428.547588761037,31614.50815643058,31614.50815643058,38855.97694633921,60.29586547551301,308.99708333333336,291.4941666666667,-17.502916666666675
1555,2025-02-03,1,85413.76410423253,66370.53321000421,66370.53321000421,137545.61086455,62.098502138570566,113.27541666666666,168.41708333333335,55.14166666666668
1556,2025-02-04,1,129940.01715289122,126219.19732111016,126219.19732111016,145941.81225586278,89.03549650670537,282.62083333333334,279.92499999999995,-2.6958333333333293
1557,2025-02-05,1,118628.14009015338,98768.02709391557,98768.02709391557,242595.73714194,48.899515501686416,273.97583333333336,167.70333333333332,-106.2725
1558,2025-02-06,1,133204.45720434794,85263.83743511057,85263.83743511057,275575.91071734,48.33675659734156,207.31416666666667,219.54541666666668,12.23125000000001
1559,2025-02-07,1,160277.1626139396,134259.7753681244,134259.7753681244,188026.93958052993,85.2415951520046,181.41375000000002,149.34875000000002,-32.065
1560,2025-02-08,1,137249.70541636625,111691.16832880459,111691.16832880459,150602.10446686455,91.13398906491636,240.34000000000003,271.99375000000003,31.653750000000002
1561,2025-02-09,1,113996.91719662369,99827.55848066702,99827.55848066702,125460.61145200001,90.86271450242197,253.75541666666666,250.52125,-3.234166666666671
1562,2025-02-10,1,94637.26341598734,112842.16032272532,112842.16032272532,153159.22050105414,61.79011822232145,246.24666666666667,275.59874999999994,29.35208333333333
1563,2025-02-11,1,57296.690058184984,45040.082452878574,45040.082452878574,121442.50184954738,47.180096906409815,180.28250000000003,299.45166666666665,119.1691666666667
1564,2025-02-12,1,98996.72207765152,100142.63649677802,100142.63649677802,157150.61517041724,62.99480404215886,171.43125,221.88083333333336,50.44958333333333
1565,2025-02-13,1,80360.61288354328,73251.50586968505,73251.50586968505,158731.83851048723,50.62665035422867,147.0966666666667,141.22458333333336,-5.872083333333335
1566,2025-02-14,1,116337.82516331432,123940.91479248868,123940.91479248868,156427.30897237538,74.37181265060262,267.53291666666667,276.1545833333334,8.62166666666667
1567,2025-02-15,1,122279.89689281903,128748.75079210667,128748.75079210667,138272.47179059385,88.43401387805181,222.57541666666665,234.35458333333335,11.77916666666667
1568,2025-02-16,1,73638.4763889318,80696.21666674365,80696.21666674365,181936.72239668347,40.47477354702206,178.79708333333335,167.72708333333333,-11.069999999999995
1569,2025-02-17,1,121572.75582096004,126409.35728582364,126409.35728582364,161249.30141500774,75.39428372968136,241.1525,242.10083333333333,0.9483333333333329
