day_idx,date,quarter,vfa_dp_revenue,oracle_revenue,capture_pct
1522,2025-01-01,1,99699.64640878231,143639.806758645,69.40948241200684
1523,2025-01-02,1,51259.87449110509,165864.81589312002,30.90461000730615
1524,2025-01-03,1,102255.61749198186,141158.44630272826,72.4403109911571
1525,2025-01-04,1,-6117.664087428697,82932.24396134922,-7.376701503796099
1526,2025-01-05,1,19300.9674186356,123380.11888421208,15.643498801252479
1527,2025-01-06,1,239507.25841973163,323350.355936,74.07051021373756
1528,2025-01-07,1,235865.54648719067,308206.2305372354,76.52848097069699
1529,2025-01-08,1,194592.5600673047,293805.71256238135,66.23171427478233
1530,2025-01-09,1,271656.7854415199,339713.9566303137,79.96633053764832
1531,2025-01-10,1,166646.81523233728,194231.70214237587,85.79794822071925
1532,2025-01-11,1,58315.79322357541,98571.49931034891,59.160907190799826
1533,2025-01-12,1,143205.23758939854,202199.82741219713,70.82362009017228
1534,2025-01-13,1,212637.05762116538,314039.00835153187,67.7103964686902
1535,2025-01-14,1,112467.62861040098,202268.38104909932,55.60316843743372
1536,2025-01-15,1,164224.73318740065,270594.82747409993,60.69027066052084
1537,2025-01-16,1,225704.9790991068,278596.33692891593,81.01505625922698
1538,2025-01-17,1,152878.04000999834,204836.15777394688,74.63430366562113
1539,2025-01-18,1,226352.2809351173,259596.3351492965,87.19394316754888
1540,2025-01-19,1,187551.10439185897,226170.6714070025,82.92459107324036
1541,2025-01-20,1,131248.9005315356,229935.7753066462,57.080678444448175
1542,2025-01-21,1,108248.33489985664,186204.30465399905,58.13417423458681
1543,2025-01-22,1,174672.40991752988,222094.61208416586,78.64774758756207
1544,2025-01-23,1,45009.127240266665,77974.90875442002,57.72257763330222
1545,2025-01-24,1,35782.650785183505,63354.186,56.48032599642825
1546,2025-01-25,1,148079.71408177022,258337.4065359247,57.320275862248415
1547,2025-01-26,1,15436.30908869316,120338.94707200002,12.827359275012984
1548,2025-01-27,1,139880.31923688037,196597.9083,71.15046159261725
1549,2025-01-28,1,268365.88008201245,477989.8536430199,56.1446813225533
1550,2025-01-29,1,258843.02433410776,326355.6010650815,79.31318582839016
1551,2025-01-30,1,207560.9534482589,259703.70852128003,79.9222139067958
1552,2025-01-31,1,78677.32584489175,95592.85886856001,82.30460598847965
1553,2025-02-01,1,50478.34049136672,72221.83779548858,69.89345886531831
1554,2025-02-02,1,46857.095177522075,77711.95389267842,60.29586547551301
1555,2025-02-03,1,170827.52820846505,275091.2217291,62.098502138570566
1556,2025-02-04,1,259880.0343057824,291883.62451172556,89.03549650670536
1557,2025-02-05,1,237256.28018030676,485191.47428388,48.899515501686416
1558,2025-02-06,1,266408.9144086959,551151.82143468,48.33675659734156
1559,2025-02-07,1,320554.3252278792,376053.87916105986,85.2415951520046
1560,2025-02-08,1,274499.41083273257,301204.2089337291,91.13398906491638
1561,2025-02-09,1,227993.83439324738,250921.22290400002,90.86271450242197
1562,2025-02-10,1,189274.52683197468,306318.4410021083,61.79011822232145
1563,2025-02-11,1,114593.38011636998,242885.00369909476,47.180096906409815
1564,2025-02-12,1,197993.44415530306,314301.2303408345,62.99480404215887
1565,2025-02-13,1,160721.22576708655,317463.67702097446,50.62665035422867
1566,2025-02-14,1,232675.65032662865,312854.61794475076,74.37181265060262
1567,2025-02-15,1,244559.79378563806,276544.9435811877,88.43401387805181
1568,2025-02-16,1,147276.9527778636,363873.44479336694,40.47477354702206
1569,2025-02-17,1,243145.51164192014,322498.6028300155,75.39428372968138
1570,2025-02-18,1,104349.45524289555,113723.83236530412,91.7568930562451
1571,2025-02-19,1,219508.445324589,231518.4190182924,94.81251913146725
1572,2025-02-20,1,73209.5597407741,88045.17403128237,83.14999719889566
1573,2025-02-21,1,73279.10270088438,160548.72392220033,45.64290572399343
1574,2025-02-22,1,52294.924044358384,129797.60495747233,40.28959090692976
1575,2025-02-23,1,248545.7852163738,297465.65812800004,83.5544468496004
1576,2025-02-24,1,155810.5880765776,275738.85760292003,56.50657634222663
1577,2025-02-25,1,334697.75057736714,413820.94874098245,80.87984709224088
1578,2025-02-26,1,125161.99105187689,246156.8140629291,50.84644580258488
1579,2025-02-27,1,265674.0728186042,357639.2870333294,74.28548329307156
1580,2025-02-28,1,204344.07770662548,287842.450077479,70.99164061854736
1581,2025-03-01,1,39110.19242880699,93104.47686192316,42.006779638328915
1582,2025-03-02,1,159262.15265790516,283582.98843471013,56.16068634334616
1583,2025-03-03,1,181622.22266072792,356837.8284457867,50.8976930646021
