day_idx,date,quarter,vfa_dp_revenue,oracle_revenue,capture_pct
1371,2025-01-01,1,116803.26003027301,170266.43625320608,68.60028470706519
1372,2025-01-02,1,181002.68966400338,242596.91840902274,74.61046531466225
1373,2025-01-03,1,114731.32126493094,186113.8435776053,61.645775004958494
1374,2025-01-04,1,51701.95841390028,138293.9220347868,37.3855608787312
1375,2025-01-05,1,106251.36315206072,169354.6901571901,62.73895517947645
1376,2025-01-06,1,136198.3230389375,179818.61334580416,75.74206057134825
1377,2025-01-07,1,5430.388206880572,203431.18670481094,2.6693980873052388
1378,2025-01-08,1,177524.64497113944,214103.0462255885,82.91551572979095
1379,2025-01-09,1,432713.10503154126,871856.5348192615,49.63122804616519
1380,2025-01-10,1,149305.6632404115,181795.82810288394,82.12821207091439
1381,2025-01-11,1,86368.0214334757,187518.1014821616,46.0584982200728
1382,2025-01-12,1,45795.754290925266,188430.93523267977,24.3037345403903
1383,2025-01-13,1,88477.7596279962,148333.26636532074,59.647954768345656
1384,2025-01-14,1,32371.50029391799,141379.655361368,22.896858965440302
1385,2025-01-15,1,-34823.11213317761,225792.94331009348,-15.422586562128815
1386,2025-01-16,1,494363.5905763365,577869.5692525835,85.54933792685195
1387,2025-01-17,1,428452.500979941,840543.6271771302,50.973261485409125
1388,2025-01-18,1,44454.827052387474,238307.95118176786,18.654361649259382
1389,2025-01-19,1,72304.38026777696,179119.48205375776,40.36656394868136
1390,2025-01-20,1,88018.11212024876,201591.8962284744,43.661532912262174
1391,2025-01-21,1,301494.9001326993,531343.2812245289,56.742017973366835
1392,2025-01-22,1,376103.5946448477,787525.4817005269,47.75764129342407
1393,2025-01-23,1,296758.074089103,709582.2982992433,41.8215159538767
1394,2025-01-24,1,117239.09326791546,199071.598464211,58.89292805823963
1395,2025-01-25,1,-60250.79797367556,64976.223281,-92.7274546461579
1396,2025-01-26,1,83100.04307228839,112049.54214169542,74.16366143397701
1397,2025-01-27,1,66244.4598722884,161152.91271062155,41.1065855143692
1398,2025-01-28,1,83470.6994722884,135684.84897544197,61.51806933683216
1399,2025-01-29,1,98477.32999117635,260262.02505801956,37.83776368036138
1400,2025-01-30,1,135079.1936667996,294885.1965659615,45.80738376827416
1401,2025-01-31,1,165128.96046309685,217252.99648030804,76.00767912909512
1402,2025-02-01,1,126351.64300824284,195892.0817253215,64.50063825724831
1403,2025-02-02,1,-50962.55929166228,124761.11040877452,-40.84811294536061
1404,2025-02-03,1,61581.7696722884,94375.39966944198,65.25192993935272
1405,2025-02-04,1,-32128.221229556235,118118.77040877452,-27.199928612844392
1406,2025-02-05,1,-375.89332771160537,90299.98464244198,-0.4162717515401784
1407,2025-02-06,1,46864.6733318324,134553.58817981413,34.829746248909835
1408,2025-02-07,1,145834.43659297566,303476.43343048077,48.05461661206153
1409,2025-02-08,1,493060.90486786945,897208.7375422821,54.954982518171626
1410,2025-02-09,1,526376.8896949721,648931.2286559233,81.11443346396078
1411,2025-02-10,1,56363.44493182249,167235.66242096765,33.70300575599942
1412,2025-02-11,1,-12725.61046361421,132604.36772553777,-9.59667519395248
1413,2025-02-12,1,1293.6920882883949,93651.59407220986,1.3813882199281056
1414,2025-02-13,1,370068.7823735807,412037.8267293133,89.81427392507241
1415,2025-02-14,1,66981.11977567407,178949.07314488394,37.43026918135733
1416,2025-02-15,1,58611.07465135448,123976.67495569895,47.27588852685248
1417,2025-02-16,1,84875.78835633773,180587.92964688397,46.99970176428801
1418,2025-02-17,1,368408.07656260143,650222.2494586658,56.65879272345953
1419,2025-02-18,1,315075.21947350394,450823.22334636684,69.88886178816749
1420,2025-02-19,1,179022.83294944663,458947.5272369811,39.00725514901986
1421,2025-02-20,1,372709.01566601347,658811.0677827636,56.57297423984846
1422,2025-02-21,1,366138.70434234216,453386.49191078776,80.75642103920175
1423,2025-02-22,1,128726.83958232845,168979.84272288394,76.1788137023137
1424,2025-02-23,1,443214.1646058602,514037.3872066509,86.22216508693
1425,2025-02-24,1,134828.02306866448,191674.80564730684,70.34206849112769
